2026-07-09 02:02:09,976 | INFO | Уже отправлен: TAUSDT
2026-07-09 02:02:09,997 | INFO | Уже отправлен: UBUSDT
2026-07-09 02:02:10,019 | INFO | Уже отправлен: LABUSDT
2026-07-09 02:02:10,033 | INFO | Уже отправлен: NIGHTUSDT
2026-07-09 02:02:10,035 | INFO | Уже отправлен: CYSUSDT
2026-07-09 02:02:10,138 | INFO | ------------------------------------------------------------
2026-07-09 02:02:10,138 | INFO | Новых сигналов : 0
2026-07-09 02:02:10,139 | INFO | Пропущено       : 12
2026-07-09 02:02:10,139 | INFO | Сброшено        : 0
2026-07-09 02:02:10,139 | INFO | Время цикла     : 11.61 сек
2026-07-09 02:02:10,139 | INFO | ------------------------------------------------------------
2026-07-09 02:03:21,063 | INFO | Проверено монет: 652
2026-07-09 02:03:21,247 | INFO | Уже отправлен: FARTCOINUSDT
2026-07-09 02:03:21,255 | INFO | Уже отправлен: SWARMSUSDT
2026-07-09 02:03:21,275 | INFO | Уже отправлен: BANANAS31USDT
2026-07-09 02:03:21,277 | INFO | Уже отправлен: PLUMEUSDT
2026-07-09 02:03:21,286 | INFO | Уже отправлен: PROMPTUSDT
2026-07-09 02:03:21,327 | INFO | Уже отправлен: AINUSDT
2026-07-09 02:03:21,330 | INFO | Уже отправлен: TACUSDT
2026-07-09 02:03:21,331 | INFO | Уже отправлен: TAUSDT
2026-07-09 02:03:21,354 | INFO | Уже отправлен: UBUSDT
2026-07-09 02:03:21,382 | INFO | Уже отправлен: LABUSDT
2026-07-09 02:03:21,406 | INFO | Уже отправлен: NIGHTUSDT
2026-07-09 02:03:21,409 | INFO | Уже отправлен: CYSUSDT
2026-07-09 02:03:21,531 | INFO | ------------------------------------------------------------
2026-07-09 02:03:21,531 | INFO | Новых сигналов : 0
2026-07-09 02:03:21,531 | INFO | Пропущено       : 12
2026-07-09 02:03:21,532 | INFO | Сброшено        : 0
2026-07-09 02:03:21,532 | INFO | Время цикла     : 11.35 сек
2026-07-09 02:03:21,532 | INFO | ------------------------------------------------------------
2026-07-09 02:04:31,669 | INFO | Проверено монет: 652
2026-07-09 02:04:31,864 | INFO | Уже отправлен: FARTCOINUSDT
2026-07-09 02:04:31,872 | INFO | Уже отправлен: SWARMSUSDT
2026-07-09 02:04:31,896 | INFO | Уже отправлен: BANANAS31USDT
2026-07-09 02:04:31,897 | INFO | Уже отправлен: PLUMEUSDT
2026-07-09 02:04:31,904 | INFO | Уже отправлен: PROMPTUSDT
2026-07-09 02:04:31,942 | INFO | Уже отправлен: AINUSDT
2026-07-09 02:04:31,944 | INFO | Уже отправлен: TACUSDT
2026-07-09 02:04:31,945 | INFO | Уже отправлен: TAUSDT
2026-07-09 02:04:31,970 | INFO | Уже отправлен: UBUSDT
2026-07-09 02:04:31,994 | INFO | Уже отправлен: LABUSDT
2026-07-09 02:04:32,012 | INFO | Уже отправлен: NIGHTUSDT
2026-07-09 02:04:32,014 | INFO | Уже отправлен: CYSUSDT
2026-07-09 02:04:32,129 | INFO | ------------------------------------------------------------
2026-07-09 02:04:32,129 | INFO | Новых сигналов : 0
2026-07-09 02:04:32,130 | INFO | Пропущено       : 12
2026-07-09 02:04:32,130 | INFO | Сброшено        : 0
2026-07-09 02:04:32,130 | INFO | Время цикла     : 10.58 сек
2026-07-09 02:04:32,130 | INFO | ------------------------------------------------------------
2026-07-09 02:05:47,216 | INFO | ============================================================
2026-07-09 02:05:47,218 | INFO | Binance Futures RSI Scanner v1.0
2026-07-09 02:05:47,218 | INFO | ============================================================
2026-07-09 02:05:57,912 | INFO | Проверено монет: 652
2026-07-09 02:05:58,099 | INFO | Уже отправлен: FARTCOINUSDT
2026-07-09 02:05:58,107 | INFO | Уже отправлен: SWARMSUSDT
2026-07-09 02:05:58,128 | INFO | Уже отправлен: BANANAS31USDT
2026-07-09 02:05:58,131 | INFO | Уже отправлен: PLUMEUSDT
2026-07-09 02:05:58,139 | INFO | Уже отправлен: PROMPTUSDT
2026-07-09 02:05:58,180 | INFO | Уже отправлен: AINUSDT
2026-07-09 02:05:58,184 | INFO | Уже отправлен: TACUSDT
2026-07-09 02:05:58,186 | INFO | Уже отправлен: TAUSDT
2026-07-09 02:05:58,209 | INFO | Уже отправлен: UBUSDT
2026-07-09 02:05:58,233 | INFO | Уже отправлен: LABUSDT
2026-07-09 02:05:58,250 | INFO | Уже отправлен: NIGHTUSDT
2026-07-09 02:05:58,252 | INFO | Уже отправлен: CYSUSDT
2026-07-09 02:05:58,366 | INFO | ------------------------------------------------------------
2026-07-09 02:05:58,367 | INFO | Новых сигналов : 0
2026-07-09 02:05:58,367 | INFO | Пропущено       : 12
2026-07-09 02:05:58,367 | INFO | Сброшено        : 0
2026-07-09 02:05:58,367 | INFO | Время цикла     : 11.15 сек
2026-07-09 02:05:58,368 | INFO | ------------------------------------------------------------
2026-07-09 02:07:09,366 | INFO | Проверено монет: 652
2026-07-09 02:07:09,563 | INFO | Уже отправлен: FARTCOINUSDT
2026-07-09 02:07:09,571 | INFO | Уже отправлен: SWARMSUSDT
2026-07-09 02:07:09,594 | INFO | Уже отправлен: BANANAS31USDT
2026-07-09 02:07:09,595 | INFO | Уже отправлен: PLUMEUSDT
2026-07-09 02:07:09,603 | INFO | Уже отправлен: PROMPTUSDT
2026-07-09 02:07:09,644 | INFO | Уже отправлен: AINUSDT
2026-07-09 02:07:09,647 | INFO | Уже отправлен: TACUSDT
2026-07-09 02:07:09,648 | INFO | Уже отправлен: TAUSDT
2026-07-09 02:07:09,673 | INFO | Уже отправлен: UBUSDT
2026-07-09 02:07:09,698 | INFO | Уже отправлен: LABUSDT
2026-07-09 02:07:09,716 | INFO | Уже отправлен: NIGHTUSDT
2026-07-09 02:07:09,719 | INFO | Уже отправлен: CYSUSDT
2026-07-09 02:07:09,836 | INFO | ------------------------------------------------------------
2026-07-09 02:07:09,836 | INFO | Новых сигналов : 0
2026-07-09 02:07:09,837 | INFO | Пропущено       : 12
2026-07-09 02:07:09,837 | INFO | Сброшено        : 0
2026-07-09 02:07:09,838 | INFO | Время цикла     : 11.43 сек
2026-07-09 02:07:09,844 | INFO | ------------------------------------------------------------
2026-07-09 02:08:20,606 | INFO | Проверено монет: 652
2026-07-09 02:08:20,783 | INFO | Уже отправлен: FARTCOINUSDT
2026-07-09 02:08:20,791 | INFO | Уже отправлен: SWARMSUSDT
2026-07-09 02:08:20,810 | INFO | Уже отправлен: BANANAS31USDT
2026-07-09 02:08:20,812 | INFO | Уже отправлен: PLUMEUSDT
2026-07-09 02:08:20,819 | INFO | Уже отправлен: PROMPTUSDT
